playerID,name,source_group,primary_position,season,fangraphs_name,team,age,games,plate_appearances,at_bats,hits,home_runs,runs_batted_in,runs,stolen_bases,batting_average,on_base_percentage,slugging_percentage,on_base_plus_slugging,batting_fwar,batting_match_type
beltrad01,Adrian Beltre,Official Induction,3B,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
beltrad01,Adrian Beltre,Official Induction,3B,2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
beltrad01,Adrian Beltre,Official Induction,3B,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1953,Al Kaline,DET,22,1051,4406,3919,1200,140,612,598,70,0.306200561,0.371519853,0.479969379,0.851489232,35.05389604857463,matched
kalinal01,Al Kaline,Official Induction,OF,1954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1961,Al Kaline,DET,31,1306,5399,4646,1376,211,776,798,56,0.296168747,0.383385987,0.49784761,0.881233597,46.34441982529315,matched
kalinal01,Al Kaline,Official Induction,OF,1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
kalinal01,Al Kaline,Official Induction,OF,1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,missing
