playerID,image_url,name,source_group,bbref_url,image_source,mlbam_id
mazerbi01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/118497/headshot/67/current",Bill Mazeroski,Official Hall,https://www.baseball-reference.com/players/m/mazerbi01.shtml,MLB,118497
terrybi01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/123203/headshot/67/current",Bill Terry,Official Hall,https://www.baseball-reference.com/players/t/terrybi01.shtml,MLB,123203
hamilbi01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/571740/headshot/67/current",Billy Hamilton,Official Hall,https://www.baseball-reference.com/players/h/hamilbi01.shtml,MLB,571740
hermabi01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/115809/headshot/67/current",Billy Herman,Official Hall,https://www.baseball-reference.com/players/h/hermabi01.shtml,MLB,115809
wagnebi02,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/123790/headshot/67/current",Billy Wagner,Official Hall,https://www.baseball-reference.com/players/w/wagnebi02.shtml,MLB,123790
willibi01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/124290/headshot/67/current",Billy Williams,Official Hall,https://www.baseball-reference.com/players/w/willibi01.shtml,MLB,124290
mackebi99,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/818393/headshot/67/current",Biz Mackey,Official Hall,https://www.baseball-reference.com/players/m/mackebi99.shtml,MLB,818393
fellebo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/114055/headshot/67/current",Bob Feller,Official Hall,https://www.baseball-reference.com/players/f/fellebo01.shtml,MLB,114055
gibsobo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/114756/headshot/67/current",Bob Gibson,Official Hall,https://www.baseball-reference.com/players/g/gibsobo01.shtml,MLB,114756
lemonbo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/117671/headshot/67/current",Bob Lemon,Official Hall,https://www.baseball-reference.com/players/l/lemonbo01.shtml,MLB,117671
abreubo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/110029/headshot/67/current",Bobby Abreu,Passed-Over Players,https://www.baseball-reference.com/players/a/abreubo01.shtml,MLB,110029
bondsbo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/111189/headshot/67/current",Bobby Bonds,Passed-Over Players,https://www.baseball-reference.com/players/b/bondsbo01.shtml,MLB,111189
doerrbo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/113419/headshot/67/current",Bobby Doerr,Official Hall,https://www.baseball-reference.com/players/d/doerrbo01.shtml,MLB,113419
grichbo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/115130/headshot/67/current",Bobby Grich,Passed-Over Players,https://www.baseball-reference.com/players/g/grichbo01.shtml,MLB,115130
wallabo01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/123864/headshot/67/current",Bobby Wallace,Official Hall,https://www.baseball-reference.com/players/w/wallabo01.shtml,MLB,123864
saberbr01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/121604/headshot/67/current",Bret Saberhagen,Passed-Over Players,https://www.baseball-reference.com/players/s/saberbr01.shtml,MLB,121604
robinbr01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/121301/headshot/67/current",Brooks Robinson,Official Hall,https://www.baseball-reference.com/players/r/robinbr01.shtml,MLB,121301
suttebr01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/123004/headshot/67/current",Bruce Sutter,Official Hall,https://www.baseball-reference.com/players/s/suttebr01.shtml,MLB,123004
harpebr03,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/547180/headshot/67/current",Bryce Harper,Active Hall,https://www.baseball-reference.com/players/h/harpebr03.shtml,MLB,547180
ewingbu01,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/113959/headshot/67/current",Buck Ewing,Official Hall,https://www.baseball-reference.com/players/e/ewingbu01.shtml,MLB,113959
leonabu99,"https://img.mlbstatic.com/mlb-photos/image/upload/d_people:generic:headshot:67:current.png/w_426,q_auto:best/v1/people/818520/headshot/67/current",Buck Leonard,Official Hall,https://www.baseball-reference.com/players/l/leonabu99.shtml,MLB,818520
